Name,ACT Median,SAT Average,Average Cost,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,Average Family Income,Median Family Income,Admission Rate
Cornerstone University,24,1084,33912,17750,23469,13291,64075.53,55078,0.6807
Covenant College,26,1173,38510,18500,21950,12000,72154.89,61514,0.5704
Creighton University,27,1214,46248,21500,23750,13950,101259.23,80669.5,0.7665
Crown College,21,983,34574,14625,27000,9500,61329.29,53587.5,0.55
Cumberland University,21,986,33402,17259,22143,11500,62062.35,47713,0.473
CUNY Bernard M Baruch College,0,1225,15112,10000,11500,8000,29059.07,21425,0.2483
CUNY Brooklyn College,0,1100,13903,9500,11000,8500,27433.12,19691,0.3198
CUNY City College,0,1110,14041,10000,12500,8000,26864.6,20534,0.341
CUNY Hunter College,0,1160,14478,9500,10500,8500,32945.53,22554,0.2972
CUNY John Jay College of Criminal Justice,0,950,13308,8251,11500,6500,30945.09,23126,0.3405
CUNY Lehman College,0,1020,12957,7500,9500,6500,25737.31,20048.5,0.2328
CUNY Queens College,0,1100,13676,9054,11200,7639.5,31861.75,22794.5,0.3702
CUNY York College,0,905,13967,7000,10000,5500,25815.23,21863,0.351
Curry College,18,931,47519,18625,26000,9500,83511.34,74416,0.6692
Daemen College,0,0,32649,15750,23250,9500,65327.98,56566,0.4864
Dakota State University,22,1010,17201,12500,24933,8836,58402.06,52416,0.8297
Dallas Baptist University,23,1078,32489,17348.5,23430,10250,63393.55,48905.5,0.423
Dartmouth College,32,1446,61398,10695.5,11625,6962,102621.61,78815,0.0978
Davenport University,0,0,25439,19000,30250,14397,35405.77,26029,0.917
Davidson College,31,1353,54930,15750,16662.5,8750,118112.31,111520,0.2561
Delaware State University,18,890,20506,15000,29000,9500,51471.74,40163,0.4168
Delaware Valley College,22,1005,44778,19500,26500,8744,86198.23,79773,0.6834
Delta State University,20,950,17749,12500,21300,11170,40481.95,25297.5,0.8941
Denison University,29,1285,54490,22000,25000,8000,120939.76,101305,0.4597
DePaul University,26,1163,46375,20500,24165.5,13475,74671.61,54683,0.5987
DePauw University,27,1215,51050,21000,24500,8750,107948.47,92959,0.6121
DeSales University,24,1069,45331,19500,27000,16535,85347.7,77146,0.758
Dickinson College,29,1285,58149,19545,21000,7500,119315.61,100478,0.4444
