Name,ACT Median,SAT Average,Average Cost,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,Average Family Income,Median Family Income,Admission Rate
University of North Carolina at Charlotte,23,1066,17767,16500,23005,10166.5,64318,51983,0.6852
University of North Carolina at Greensboro,23,1029,17362,16000,22500,9500,62041.39,50195,0.6002
University of North Carolina at Pembroke,20,926,15784,13260,21000,12177,48406.89,36289.5,0.7204
University of North Carolina Wilmington,24,1154,18165,16500,20624,9761.5,75837.12,63608.5,0.5419
University of North Dakota,24,1090,20538,16728,24500,10000,78359.31,72841.5,0.737
University of North Florida,25,1143,19415,14000,17479,9882,55334.71,41844.5,0.5343
University of North Georgia,21,1009,16525,7500,16473,5500,0,0,0.6102
University of North Texas,24,1100,18593,14955,20750,9835.5,64825.21,49512,0.5969
University of Northern Colorado,22,1029,19105,14250,22461,8250,77019.2,69484,0.6957
University of Northern Iowa,22,1030,19233,18500,22148,12000,74741.68,70699,0.8331
University of Northwestern-St Paul,25,1126,37803,18636.5,22430,12500,73387.27,65093,0.6915
University of Notre Dame,33,1450,57805,20300,21000,14257,123618.48,106005,0.223
University of Oklahoma-Norman Campus,26,1176,23263,15750,20000,12000,66684.98,49891,0.8044
University of Oregon,25,1108,22390,18309,21535,10333,71151.8,54318,0.7417
University of Pennsylvania,32,1442,59600,19500,21500,12500,87200.75,62169,0.1224
University of Pikeville,19,909,31005,9500,19500,5750,35649.53,24191,1
University of Pittsburgh-Bradford,21,973,23732,22000,26896.5,10596,79347.41,71893,0.8532
University of Pittsburgh-Greensburg,22,1017,23343,22000,26896.5,10596,79347.41,71893,0.9311
University of Pittsburgh-Johnstown,22,1021,23709,22000,26896.5,10596,79347.41,71893,0.9038
University of Pittsburgh-Pittsburgh Campus,28,1258,30410,22000,26896.5,10596,79347.41,71893,0.5613
University of Portland,0,1195,51036,22454,25000,10000,98696.67,86897,0.668
University of Puerto Rico-Aguadilla,0,1038,8055,5000,5500,4500,25464.65,22433.5,0.9234
University of Puerto Rico-Arecibo,0,0,11056,4500,4600,4500,25464.65,22433.5,0.5302
University of Puerto Rico-Bayamon,0,0,8509,4500,5500,4500,25464.65,22433.5,0.2547
University of Puerto Rico-Carolina,0,1029,11945,4500,4957.5,4500,25464.65,22433.5,0.8065
University of Puerto Rico-Cayey,0,1094,11428,4500,5000,4000,25464.65,22433.5,0.8342
University of Puerto Rico-Humacao,0,0,11686,4500,5000,3800,25464.65,22433.5,0.4487
University of Puerto Rico-Mayaguez,0,0,14726,5500,5500,5500,25464.65,22433.5,0.725
University of Puerto Rico-Ponce,0,0,13018,5250,5500,4500,25464.65,22433.5,0.6398
University of Puerto Rico-Rio Piedras,0,1195,8020,5500,5500,5197,25464.65,22433.5,0.5248
University of Puget Sound,28,1233,53785,20789,23500,10288,100805.53,84173.5,0.8522
University of Redlands,25,1135,55268,24000,27000,18381,83774.07,69769,0.672
University of Rhode Island,24,1076,26262,19500,23250,9500,88579.08,78122.5,0.7871
University of Richmond,30,1313,55980,18370,19500,10250,109334.2,90735.5,0.3116
University of Rochester,31,1353,59156,24325.5,26000,13500,97862.81,85192,0.3568
University of Saint Francis-Fort Wayne,21,981,31516,20000,26000,9500,69162.62,63504,0.5362
University of San Diego,28,1228,56346,19500,22500,10215.5,97719.44,69873.5,0.4885
University of San Francisco,25,1161,55812,23000,25000,20300,90594.28,70581,0.6129
University of Scranton,25,1121,51962,26442,27000,12000,106711.89,93993,0.7503
University of Sioux Falls,23,1064,33909,16749,25000,8000,71708.18,62665.5,0.969
University of South Alabama,23,1064,17125,15000,25000,9500,45401.94,30958,0.8604
University of South Carolina-Aiken,21,973,18466,13750,26000,9500,54859.12,41442,0.5122
University of South Carolina-Beaufort,20,932,19354,11000,24250,9500,47466.64,34946,0.7304
University of South Carolina-Columbia,27,1200,23685,19125,22500,13500,76756.24,63282.5,0.606
University of South Carolina-Upstate,21,982,20848,15750,23250,11181,54133.16,41002.5,0.6422
University of South Dakota,24,1090,18843,15463,24000,10500,61219.52,53346,0.8788
University of South Florida-Main Campus,26,1168,19299,16954,19735,12500,52366.99,36808.5,0.4524
University of South Florida-St Petersburg,23,1070,18821,16954,19735,12500,0,0,0.4401
University of Southern California,31,1380,59787,21500,22841.5,17125,74599.85,42938,0.1984
University of Southern Indiana,22,1004,17996,13500,23275,8250,64285.39,57798,0.6934
University of Southern Maine,23,1003,22290,17000,24250,12000,60012.65,49417,0.828
University of Southern Mississippi,24,1082,18781,16600,25000,12641,44439.03,29062,0.6631
University of St Francis,23,1070,36226,21000,25000,12500,78868.51,73669,0.5141
University of St Thomas,26,1121,37271,20000,25000,11000,63775.86,42131.5,0.7724
University of St Thomas,26,1165,48421,22250,26500,11150,110915.07,96397,0.8617
University of the Cumberlands,22,1019,30993,9500,21505.5,5700,57753.77,48248,0.7127
University of the Incarnate Word,21,967,34487,19500,27000,12067,56531.31,41999,0.9307
University of the Pacific,26,1172,52406,21250,23500,18750,62103.51,40951,0.7265
University of the Sciences,25,1165,49327,27000,27000,9625,90253.37,82840.5,0.5635
University of the Virgin Islands,17,807,16261,7307.5,12150,6250,31815.36,25917,0.9782
University of Toledo,22,1031,21263,14500,24994,9500,65254.02,57163,0.9073
University of Tulsa,29,1279,46560,20500,25000,11000,79960.34,64324,0.4059
University of Utah,24,1109,19048,12839,15400,10821,47548.1,32294,0.8174
University of Vermont,27,1190,27788,18878,21893.5,9581.5,95378.54,77614,0.7755
University of Virginia-Main Campus,31,1362,25255,17746,19500,11921,100872.78,84687,0.2999
University of Washington-Bothell Campus,21,1014,22800,14793.5,16326,11400,55950.49,38703,0.7568
University of Washington-Seattle Campus,28,1234,24606,14793.5,16326,11400,55950.49,38703,0.5523
University of Washington-Tacoma Campus,20,963,22185,14793.5,16326,11400,55950.49,38703,0.8523
University of West Alabama,20,950,17959,13500,22500,10864.5,37752.64,23735,0.9957
University of West Georgia,20,950,18879,14250,23001,9500,62503.86,51454,0.5385
University of Wisconsin-Eau Claire,24,1110,18066,17823.5,23250,8750,82400.9,78332,0.7646
University of Wisconsin-Green Bay,23,1070,16878,14549,21711,10500,70428.84,67408,0.8476
University of Wisconsin-La Crosse,25,1130,17896,18428.5,23203,8855,84818.34,81510.5,0.72
University of Wisconsin-Madison,28,1268,23718,21000,23000,13000,95485.12,87726,0.6792
University of Wisconsin-Milwaukee,22,1030,21203,17459,25107.5,11000,73393.86,66757,0.8608
University of Wisconsin-Oshkosh,22,1030,16935,16852,23868,9489,72876.79,69462,0.8134
University of Wisconsin-Parkside,21,990,15218,14054,24250,9500,61183.33,51714.5,0.7547
University of Wisconsin-Platteville,23,1050,16824,15750,24000,8250,72370.8,69457,0.9647
University of Wisconsin-River Falls,22,1030,16682,18225,24700,9251,77835.08,75121,0.8663
University of Wisconsin-Stevens Point,23,1070,16427,18700,25000,8750,73219.65,69497,0.8285
University of Wisconsin-Stout,22,1030,18192,18015,24752.5,9500,80177.03,74284.5,0.8927
University of Wisconsin-Superior,22,1010,16953,14616.5,23500,10000,54689.72,45359,0.8927
University of Wisconsin-Whitewater,22,1030,16107,18681,25250,9750,76990.02,73639,0.8468
University of Wyoming,25,1123,17652,12511.5,19000,9500,62802.32,51123,0.9569
Upper Iowa University,22,1010,35190,15882.5,22500,12360.5,48304.02,38423,0.5818
Ursinus College,27,1182,57163,27000,27000,10241.5,99543.43,89174,0.6633
Utah State University,24,1087,16020,8750,13500,6500,44547.68,29227,0.9674
Utica College,21,946,44394,18000,25000,9065,64313.98,55077,0.8542
Valdosta State University,22,1033,20958,16000,25245,11000,63517.53,51351,0.5522
Valparaiso University,26,1158,43185,23250,27000,11925,90375.63,81419.5,0.7969
Vanderbilt University,33,1475,59890,13000,13750,8959,99004.36,74999.5,0.1274
Vanguard University of Southern California,23,980,41952,19895,25000,12500,82048.82,67855,0.6977
Vassar College,32,1394,59320,16590,17545,7500,115433.73,102049,0.2411
Villanova University,30,1316,56265,25000,27000,17750,130737.82,112696,0.489
Virginia Commonwealth University,24,1102,25291,19125,24750,11750,69541.5,55696,0.6913
Virginia Military Institute,25,1141,24643,19710,23500,8500,95765.01,89939.5,0.4732
Virginia Polytechnic Institute and State University,0,1220,25513,21500,25000,13925,104751.65,95419,0.7028
Virginia State University,17,811,20075,17000,28451,9531,49397.69,39006,0.9459
Virginia Union University,15,750,26885,14250,31000,9500,49664.21,39816.5,0.5848
Virginia Wesleyan College,21,1021,41010,12500,27000,6000,81448.63,71035,0.9311
Viterbo University,24,1090,32956,21500,27000,10672.5,64999.51,57043.5,0.706
Wagner College,25,1154,49453,22875,27000,8750,101715.27,94891,0.6988
Wake Forest University,0,0,58260,21000,22810,12750,124215.22,103314,0.352
Walla Walla University,24,1072,34747,22000,28250,18333,72764.77,55205,0.9286
Walsh University,23,1047,34994,21500,27000,10500,73940.26,67420,0.7713
Warner University,19,908,28555,15306,24375,9500,48240.15,38439.5,0.3378
Wartburg College,24,1077,43312,24124,27000,10500,87843.22,79035.5,0.7765
Washington & Jefferson College,0,0,49507,27000,27000,9500,101619.52,95549.5,0.3973
Washington and Lee University,32,1392,56616,18543,19500,0,132813.41,112856,0.1843
Washington College,27,1168,52243,25000,27000,8750,123228.4,108663.5,0.6655
Washington State University,22,1030,26292,15736,20977,11250,70810.85,58238.5,0.8208
Washington University in St Louis,33,1474,62594,19500,20125,16742.5,97020.72,77947.5,0.1555
Wayland Baptist University,20,940,21543,12500,18750,9500,45325.2,36554.5,0.9862
Wayne State University,23,1050,20199,16000,21500,13500,44037.59,30304.5,0.7624
Waynesburg University,23,1015,28822,23000,27000,12500,69531.78,64789,0.7523
Webster University,24,1107,37363,20500,25000,16250,72024.67,61052,0.5806
Wellesley College,31,1399,57164,8000,8225,6832.5,91334.36,74657,0.2911
Wentworth Institute of Technology,24,1109,43850,21700,27000,9500,89672.88,81863,0.5761
Wesley College,20,841,35199,14250,30750,9500,75952.19,65621,0.625
Wesleyan University,31,1387,61167,17625,18633,8500,106492.97,88497,0.2092
West Chester University of Pennsylvania,0,1105,24997,19695.5,23811,14000,87436.62,82783,0.5156
West Liberty University,21,984,18406,15000,24624,10980,54696.02,48827.5,0.7122
West Texas A & M University,22,994,17553,13573,21500,9625,51091.58,39169,0.7403
West Virginia State University,20,942,13756,12916,23787.5,9500,36024.82,25404.5,0.4478
West Virginia University,24,1062,16898,14625,23808,9500,78406.72,69116,0.851
West Virginia University Institute of Technology,21,990,14465,14625,23808,9500,44064.53,34515,0.5131
West Virginia Wesleyan College,23,1021,38796,15300,26000,5750,78037.22,70830,0.7696
Western Carolina University,22,1034,17805,15000,21249,8261,64748.81,55820,0.3766
Western Connecticut State University,0,0,19446,17050,24250,11000,76059.55,67834,0.6549
Western Illinois University,21,970,24375,17729,24000,11000,74171.17,65915,0.5931
Western Kentucky University,22,1009,16538,15000,24431,11000,53605.57,42198.5,0.9232
Western Michigan University,22,1030,22483,20875,27000,12000,81449.44,74325,0.8285
Western New England University,24,1077,45850,20159,27000,8905,94324.16,87684,0.8151
Western Oregon University,0,950,21732,17500,25000,11500,63395.09,53889,0.882
Western State Colorado University,22,1005,18875,12000,20497.5,8481.5,71289.92,60062.5,0.932
Western Washington University,25,1114,22009,15500,19500,10476,70343.27,60238,0.8371
Westfield State University,20,995,19468,16250,23026,7500,81421.39,78180,0.7487
Westminster College,24,1090,33354,20000,27000,9500,77986.69,64767,0.719
Westminster College,23,1040,42474,26000,27000,10500,81225.32,75532,0.7336
Westminster College,25,1134,37990,17958,24500,9500,64341.97,50415,0.7517
Westmont College,27,1193,51760,19500,23250,12000,116953.6,96799,0.7016
Wheaton College,0,0,56934,22500,24000,6700,99677.32,92594,0.6737
Wheaton College,30,1318,41394,21179,23000,13750,99339.64,83641,0.6871
Wheeling Jesuit University,22,1023,34213,16625,27000,10440,71873.4,66698,0.6892
Whitman College,30,1327,54865,14600,15990,8750,106429.17,93725,0.5696
Whittier College,23,1043,49920,21500,26000,11000,87350.78,75319,0.6325
Whitworth University,0,0,45655,22500,26036.5,13000,84102.38,74397.5,0.6452
Wichita State University,24,1089,14764,15250,21750,11000,52548.32,41686,0.9576
Widener University-Main Campus,0,1025,50294,20850,27800,9500,72258.59,60128,0.6726
Wilkes University,0,1060,42612,20255.5,27000,9500,76389.38,71479.5,0.7598
Willamette University,27,1198,52665,19538.5,23500,8750,97165.98,82978,0.5784
William Carey University,24,1105,23962,18375,23978.5,12667,36120.41,25265,0.4877
William Jessup University,23,1039,34811,17000,21500,13298,66233.18,56144,0.6929
William Jewell College,25,1146,42688,19500,26000,7250,87388.08,75990.5,0.5778
William Paterson University of New Jersey,0,1010,21990,18750,25382,11000,71005.62,54969,0.6811
William Penn University,20,926,33081,18740,25563,12500,53458.98,45954.5,0.5766
William Woods University,23,1047,33016,15985,22650.5,6500,69085.18,58119,0.7514
Williams College,32,1439,59412,11248,12005,6625,106459.04,88403.5,0.1702
Wilmington College,22,1006,39415,21576,27000,9750,68059.17,61722,0.4603
Wingate University,22,1013,35465,15750,25976.5,8715,76948.17,68642.5,0.793
Winona State University,23,1070,20449,18288,24000,9221,82392.18,80304,0.6075
Winston-Salem State University,18,889,15990,20499,27687,15000,42348.28,30559.5,0.5565
Winthrop University,22,1030,24595,19976,27000,9500,67902.81,56621.5,0.7225
Wisconsin Lutheran College,24,1097,34192,16172,24634.5,8750,83771.68,75194,0.6356
Wittenberg University,24,1119,50728,21758,27000,10199.5,102244.08,89184,0.8932
Wofford College,27,1186,47856,19500,24000,9500,104265.69,91037,0.688
Woodbury University,22,987,42465,27000,31000,23250,49061.63,35334.5,0.5575
Worcester Polytechnic Institute,0,0,55866,27000,27000,22500,99994.76,93479,0.5159
Worcester State University,22,1016,18494,14500,19503,8250,71596.51,62776.5,0.6062
Xavier University,25,1132,45080,24000,27000,10500,100738.63,88138,0.6997
Xavier University of Louisiana,23,1048,27550,18000,27000,11931.5,57479.8,38660.5,0.5443
Yale University,34,1497,59320,12000,12000,12775,73769.14,45652.5,0.0705
Yeshiva University,26,1217,53825,15358.5,19361,10500,109592.47,87607,0.8216
York College Pennsylvania,23,1045,27266,20500,26903,9271,92016.29,86883.5,0.7351
Young Harris College,21,980,34007,10500,26000,8835,72203.98,57743.5,0.5365
